Indicator,Type,file name,Comment
f23246ca0d8a71ae02c88a8b2cb07ed69f38e74d5e1a0b2f130a3f4ae9ef369a,sha256,llgchessgame.zip,BeaverTail NPM package
0e19771a1d6c23994e12ef9998c769ed9d1a415cfbcebd1b20354f8ea819f509,sha256,tzdashboard-tzmaindash-80e5668875c1.zip,BeaverTail NPM package
5d3f060cd0ced54f971151cafb752758c4332cc6b6c03b3b1ea98909d6c0485e,sha256,,InvisibleFerret Downloader
832013e4d5247503a95e0679019794d0e9b60f489174dfb1aff3914419835c2e,sha256,pay,InvisibleFerret Backdoor
d16cb03c26f70fb1e95d3ac9c719122e6270d040b748594559a2fc5ca7761add,sha256,bow,InvisibleFerret Browser stealer
530dd9ff6b2b799c283e5d59ca2c8bb1da1976a74531b2af731adc345bc7aab6,sha256,109,InvisibleFerret Browser stealer
7f96262bc293097edb0225da91c6981389cdf0db488afa62619c50b3bcc64556,sha256,mlip,InvisibleFerret keylogger
64fe9ef5af531f8dded81bbd183753ba4c909216a2b0f0341bc9100f5794cb3d,sha256,,InvisibleFerret AnyDesk
fba7016fc7cdd9d3247fa2e11be358c900549a819b9096c24464183aa01d252c,sha256,Trading Analyzer.exe,BeaverTail Electron application
45.137.213.30,C2,,
95.164.17.24,C2,,
147.124.212.89,C2,,